Aspect Category,News Headlines
Politics,ھنن چيو ته الهھ ورايو بھڻ وطن جي آزادي واري تحريڪ جو ھڪ اھم فرد آهي، جنهن پنهنجو ٻالڪپڻ انگريز فوج جي لانگ بوٽن جي ڇانوَ ۾ حر ڪئمپن ۾ گذاريو، سانگهڙ جا اڪثر اديب، دانشور، شاعر ۽ ليکڪ سندس شاگرد آھن. الھه ورايو بھڻ سانگهڙ جي مظلوم ماڻهن جو ڪيس سدائين بھترين نموني وڙهيو آهي.
Politics,پرويز الاهي جي آڊيو ليڪس تي سپريم ڪورٽ جي ججن جو اجلاس
Sports,گرانٽ بريڊ برن نيوزيلينڊ خلاف ٿيل سيريز ۾ ڪنسلٽنٽ طور ذميواريون نڀائي هئي ۽ اها سيريز پاڪستان چار هڪ تان پنهنجي نالي ڪئي هئي.
Sports,پي ايف ايف پاران جونيئر فٽبال ٽيم جي اڳوڻي ڪپتان جي لاڏاڻي تي ڏک جو اظهار
Crime,بدين ۾ چوري جو واقعو، جوابدار شهري کان 17 لک رپيا ڦر ڪري ويا.
Sports,ڪيوي بئٽر ڊيرل مچل جي سينچري ضايع ٿي وئي.
Crime,انساني قرباني جي نالي تي ٻن عورتن کي قتل ڪري گوشت پچايو ويو !
Politics,اسلام آباد :پرڏيهي وزير بلاول ڀٽو زرداري چيو آهي ته پاڪستان گڏيل قومن جي متحرڪ ميمبر جي حيثيت سان عالمي فورمز تي ڪم جاري رکندو.
Politics,ان کانپوءِ عمران خان فيبروري 2018ع تي مون سان ٻيهر رابطو ڪيو ۽ بشرا بي بي ٻيهر نڪاح ڪرڻ جو چيو
Politics,فلسطين جي والاريل يروشلم واري علائقي ۾ فلسطين فٽبال ليگ ڪپ جي فائنل واري مقابلي دوران اسرائيلي فوجن جارحيت جو مظاهرو ڪندي ميدان جي اندر شيلنگ ڪري ڏني آهي، جنهن سبب ڪيترائي رانديگر متاثر ٿي ويا آهن
Politics,سومر تي ايوان جي ڪارروائي دوران اپوزيشن جي ميمبرن عوامي اهميت وارا ڪيترائي ڌيان ڇڪايو نوٽيس پيش ڪيا
Politics,سنڌ دوست ڌرين نون صوبن بابت ڪميٽي رد ڪري ڇڏي، سنڌ ٽوڙڻ نه ڏينداسين: اڳواڻ
Politics,ٻئي طرف سينيئر قانوندان ۽ اڳوڻي اٽارني جنرل انور منصور چيو آهي ته قانون تحت گورنر کي عمل ڪرڻو پوندو آهي، قانون ۾ لکيل آهي ته صدر عام چونڊن جي تاريخ ڏئي سگهي ٿو، جيڪڏهن صوبن جا گورنر ڪنسلٽيشن کان انڪار ڪن ته صدر پنهنجا اختيار استعمال ڪري سگهي ٿو.
Politics,ڀارت ۾ تڪرارن مٿان تڪرارن کي جنم ڏيڻ ۾ ماهر ليکي ويندڙ اداڪارا ۽ ڊانسر راکي ساونت جي هڪ وڊيو سوشل ميڊيا تي تمام گهڻي وائرل ٿي وئي آهي، جنهن ۾ اها پاڪستاني عوام کي ٻاهر نڪرو ۽ عمران خان کي بچايو جو پيغام ڏئي رهي آهي
Politics,انڌي سياسي انتقام سان ملڪ ۽ قوم جي ترقي متاثر ٿي، قومي اسيمبلي جي پهرين ٻن قطارن ۾ ويٺل اڳواڻن کي پي ٽي آءِ جي دور ۾ گرفتار ڪيو ويو، رڳو الزامن جي بنياد تي ليڊرن کي گرفتار ڪيو ويندو هو.
Crime,ڀٽ شاهه: ٽرالر جو ڪار کي ٽڪر، وڏي وزير جي ڀيڻ سميت چار ڄڻا زخمي
Politics,ٻڌڻيءَ جي موقعي تي پاڪستان بار ڪائونسل پاران عدالتي ڪارروائين جو بائيڪاٽ ڪيو ويو.
Politics,ڪراچي ۽ حيدرآباد جي عوام نفرت جي سياست کي رد ڪري ڇڏيو: بلاول ڀٽو زرداري
Sports,جڏهن تھ محمد حفيظ جو چوٿون نمبر آهي.
Politics,اسلام آباد :سپريم ڪورٽ جي چيف جسٽس عمر عطا بنديال پي ٽي آئي جي چيئرمين عمران خان طرفان نيب ترميم خلاف ڪيس جي شنوائي دوران ريمارڪس ڏنا ته نيب قانون ۾ ڪافي شيون ٺيڪ آهن، ڪجهه غلطيون آهن جن تي فيصلو ڏينداسين.
Sports,پي سي بي جي اڳوڻي چيئرمين رميز راجا مڪي آرٿر جي مقرري ۽ نجم سيٺي جي قدمن کي ڇتي تنقيد جو نشانو بڻائيندي چيو آهي تھ مڪي آرٿر جي مقرري ائين آهي، جيئن ڳوٺ ۾ جوڪر جي واپسي ٿي هجي.
Crime,آسٽريليا جي اڳوڻي ڪرڪيٽر مائيڪل سليٽر پوليس تي حملو ڪرڻ ۽ سندن ڪم ۾ مداخلت وارن الزام کي رد ڪري ڇڏيو آهي.
Sports,سوئيزر لينڊ جي ليجنڊ اسٽار راجر فيڊرر رٽائرمينٽ باوجود اڃا تائين ڪروڙ ڊالر ڪمائي رهيو آهي،
Sports,آئي پي ايل ۾ جهيڙي تان ڪوهلي ۽ گهمڀير مٿان ڏنڊ جي سزا
Politics,عدالت رڪارڊ منظر عام تي نه آڻڻ جو وفاقي حڪومت جو اعتراض رد ڪندي رمارڪس ڏنا آهن ته جنهن دوست ملڪ تحفا ڏنا، اهو به ٻڌايو وڃي، ڪا به شئي لڪائي نٿي سگهجي، سمورو رڪارڊ پبلڪ ڪيو وڃي
Politics,اٽارني جنرل چيو ته سيڪيورٽي فورسز جو ڪم خطرن کي منهن ڏيڻ آهي، 2001 کان سيڪيورٽي ادارا سرحدن تي مصروف آهن
Politics,وڊيو: ٽنڊي محمد خان واسي ٻوڏ متاثر بلاول ڀٽو تي ڪڙڪي پيو !
Politics,ڪراچي جي چونڊن ۾ ڌانڌلي نه ٿئي ته پيپلز پارٽي کٽي ويندي: سعيد غني
Sports,نيوزيلينڊ جي رانديگرن جي جهاز جي ڏاڪڻ لڳائڻ ۾ غفلت، رانديگر انتظار ڪندا رهيا
Crime,پنجاب جي گهرو کاتي جناح هائوس کي باهه ڏيڻ جي واقعي ۾ ملوث ماڻهن جي سڃاڻپ ڪندڙن لاءِ ٻه لک رپيا انعام جو اعلان به ڪيو آهي.
Politics,سڀ کان وڏو بزدل اهو هوندو آهي جيڪو اقتدار خاطر پنهنجي ڌيءُ کي قبول نه ڪري، بزدل اهو هوندو آهي جيڪو پنهنجي گهر جي عورتن کي چوري ۽ مني لانڊرنگ لاءِ استعمال ڪري.
Politics,سماجي رابطن واري ويب سائيٽ ٽوئيٽر تي جاري ڪيل پنهنجي ٽوئيٽ ۾ شيري رحمان چيو ته صدر بل تي نظرثاني لاءِ واپس موڪلي ثابت ڪيو ته هو صدر نه پر پي ٽي آءِ جو سيڪريٽري جنرل آهي.
Crime,پولينڊ جو ميئر هوٽل جي چوٿين منزل جي گيلري مان ڪري فوت ٿي ويو.
Sports,اٽالين ٽينس ٽورنامينٽ جي اهم رائونڊ ميچن دوران ٽن مشهور ٽينس اسٽارز ويمنز ۾ وانگ زو، ميڊيسن ڪيز ۽ مينز مان مارڪو ڪوچيناٽو کي شڪست ملي آهي، جنهن تي سندن مداح پڻ حيران ٿي ويا آهن
Politics,پارلياماني معاملن واري وزارت قانون واري وزارت جي مشاورت سان سمري وزيراعظم هائوس ڏانهن موڪلي ڇڏي آهي.
Politics,ٻنگار شاخ تي موري نه هجڻ جو معاملو، سنڌ هاءِ ڪورٽ عوامي آواز جي خبر تي نوٽيس وٺي ڇڏيو
Politics,راڻا ثناءُ الله چيو ته هو ڪنهن به شخص جي ضد کي قبول نه ڪندا، ماڻهو پنهنجي انا ۽ ضد ۾ ڦاٿل هوندو آهي، ڪڏهن لانگ مارچ ذريعي ۽ ڪڏهن عوام ذريعي چونڊون چاهين ٿيون،
Politics,اسلام آباد :سپريم ڪورٽ پنجاب ۽ خيبر پختونخوا ۾ چونڊن بابت پاڻمرادي نوٽيس ڪيس جو فيصلو محفوظ ڪري ورتو، جيڪو اڄ صبح 11 وڳي ٻڌايو ويندو. سپريم ڪورٽ ۾ پنجاب ۽ خيبر پختونخوا ۾ چوندن جي تاريخ بابت پاڻمرادي نوٽيس ڪيس جي شنوائي چيف جسٽس عمر عطا بنديال جي سربراهي ۾ 5 رڪني بئنچ مڪمل ڪري ورتي
Crime,ڊاڪٽر جي ڀاءُ پاران واقعي ۾ زخمي ٿيل قرت العين ۽ سندس ڀاءُ تي شڪ ظاهر
Sports,بنگلاديش جي ڪرڪيٽ ٽيم پهرين ون ڊي ۾ آئرلينڊ جي ٽيم کي 183 رنسن تان شڪست ڏئي ڇڏي آهي.
Politics,پي ٽي آءِ وارا يوٽرن جا بادشاهه آهن
Crime,ميڊيا مطابق سي بي آئي جي عدالت 2013ع ۾ آپگهات ڪندڙ جيا جي ڪيس جو محفوظ فيصلو نيٺ ٻڌائي ڇڏيو آهي
Politics,شفاف چونڊن ۾ بدنيتي ٿيندي ته سپريم ڪورٽ مداخلت ڪندي:چيف جسٽس
Sports,بي پي ايل دوران ڳالهائيندي هن چيو ته مان ڪرڪيٽ کيڏندو رهندس ۽ ان ڪري ريٽائرمينٽ بابت سوچي به نه رهيو آهيان.
Politics,پ پ جو سڀاڻي بلاول جي حمايت ۽ ڀارت جي مخالفت ۾ ريليون ڪڍڻ جو اعلان
Politics,واضح رهي ته قومي سلامتي ڪميٽي جي اجلاس ۾ فوجي ۽ نجي ملڪيتن کي نقصان پهچائيندڙن خلاف ڪارروائي جو فيصلو ڪيو ويو هو.
Politics,انصاف لائير فورم جو سربراهه رهي چڪوآهي، هاڻي به عمران خان جي قانوني ٽيم جو حصو آهي،
Sports,انڊين پريميئر ليگ (آءِ پي ايل) لاءِ ڀارت ۾ موجود راشد خان انسٽاگرام تي هڪ تصوير شيئر ڪئي جنهن ۾ هو هاردڪ پانڊيا ۽ افغانستان جي رانديگر نور احمد سان گڏ آهي
Politics,اسلام آباد هاءِ ڪورٽ چيو ته عمران خان اڄ عدالتي وقت اندر پيش ٿئي نه ته توهين عدالت جي ڪارروائي ٿيندي.
Politics,عدالت جي حڪم جي ڀڃڪڙي ٿي ته سخت نتيجا نڪرند.ا اوهان قانوني ڪارروائي ڪريو پر اهو ڇا ته اوهان گهريلو عورتن کي ئي گرفتار ڪري ورتو.
Politics,جڏهن ته عمران خان جي وڪيل عدالت کي ايندڙ شنوائي تي ماڻهن جي رش جي حوالي سان خيال رکڻ جي خاطري ڪرائي آهي.
Crime,ٽنڊي آدم ۾ پوليس مقابلو، هڪ جوابدار سميت 2 جوابدار گرفتار.
Politics,پرڏيهي ميڊيا موجب، صدارتي چونڊن ۾ ترڪ صدر طيب اردگان ۽ مخالف ڌر اڳواڻ ڪمال قليچ داراوغلو وچ ۾ سخت مقابلي جو امڪان آهي.
Politics,مان سياسي جماعتن پابندين جي حق ۾ ناهيان، سياسي پارٽين تي پابنديون لڳائڻ کان اڳ انهن رٽائرڊ جرنيلن خلاف ڪارروائي ڪريو جن ” پراجيڪٽ عمران خان “ ذريعي پاڪستان جي آئين ۽ قانون جا بکيا اڊيڙي ڇڏيا.
Sports,ان ڏس ۾ آسٽريلوي ڪرڪيٽ بورڊ ( ڪرڪيٽ آسٽريليا ) چيو آهي ته سڊني ڪرڪيٽ گرائونڊ جا ٻه گيٽ عظيم ڪرڪيٽرن جي نالن سان منسوب ڪيا ويا آهن.
Sports,پاڪستاني ڪرڪيٽر محمد عامر کي پي سي بي انٽرنيشنل ڪرڪيٽ ۾ واپسي جو اشارو ڏئي ڇڏيو آهي.
Politics,وزيراعظم وفاقي ڪابينا جو اهم اجلاس به اڄ ٻيهر سڏائي ورتو.
Crime,ان سلسلي ۾ پوليس ٻڌايو ته عورت کي 3 گوليون لڳل آھن، جنهن ۾ 2 ٻانهن ۽ هڪ سيني ۾ لڳل آھن، جوابدار ٿاڻي تي قتل ۾ استعمال ڪيل رائيفل سميت پيش ٿيو آھي ۽ ڏوھه جو اعتراف به ڪيو آهي، وارثن پاران ڪيس داخل نه ڪرائڻ سبب سرڪار جي مدعيت ۾ ڪيس داخل ڪيو ويو آھي.
Crime,ذريعن موجب گرفتار ڪيل افغان شهرين طرفان ڏوهه جو اعتراف ڪيو ويو آهي، اڪثر شهرين چيو ته اسان ڪابل، مزار شريف ۽ ٻين شهرن سان تعلق رکون ٿا
Politics,نبيل گبول جي ان بيان تي بلاول ڀٽو جي ڀيڻ بختاور ڀٽو زرداري، ليکڪه فاطمه ڀٽو، انساني حقن جي ڪارڪن ۽ وڪيل نگهت داد ۽ ٻين مذمت ڪئي آهي.
Politics,اسلام آباد :اليڪشن ڪميشن پاڪستان تحريڪ انصاف جي چيئرمين عمران خان، فواد چوڌري ۽ اسد عمر کي توهين عدالت ڪيس ۾ اربع ڏينهن طلب ڪري ورتو آهي.
Sports,نيوزيلينڊ پهرين ٽيسٽ ۾ سريلنڪا کي 2 وڪيٽن تان هارائي ڇڏيو
Politics,پاڪستاني اداڪارا ارمينا جي مڙس فيصل رضا خان سندس ڌيءَ جي تصوير شيئر ڪرڻ تان نواز ليگ جي قيادت کان معافي وٺڻ جو مطالبو ڪري ڇڏيو آهي
Sports,آئرلينڊ جي بيٽرن لورڪن ٽڪر ۽ هيري ٽيڪٽر شاندار راند کيڏندي ٽيم جي اسڪور کي وڌائي راند ۾ واپس آڻي ڇڏيو آهي، جنهن سبب ٽيم راند جي ٽئين ڏينهن تي 8 وڪيٽون وڃائي 286 رنسون ٺاهي ورتيون آهن.
Politics,سنڌ سان پاڻي، وسيلن ۽ آدمشماري جي مسئلن تي زيادتي پئي ٿي:اياز لطيف
Crime,گم ٿيل 2 ڄڻن جو وارثن جو احتجاج، پوليس کين کڻڻ جي دعويٰ ڪئي پر نه قبولي.
Sports,اسپورٽس بورڊ جي بجيٽ ۾ هڪ ارب 24 ڪروڙ ڪٽوتي جو فيصلو
Crime,ڪپور گهراڻي جي اداڪارا کي پٽ قتل ڪري درياهه ۾ اڇلائي ڇڏيو
Politics,جسٽس قاضي فائز وڌيڪ چيو ته اڄ به جيڪڏهن ريفرنڊم ڪجي ته شايد ئي ڪو چوندو ته جسٽس منير جو فيصلو درست هو
Politics,گهوسٽ اسڪول سنڌ حڪومت جي بدعنواني سبب خالي هو، هڪ اهلڪار منهنجي پوسٽ کانپوءِ ملڻ آيو هو پر اسڪول جو اهو ئي حال آهي
Politics,سڀ ڏوهي پر اڳتي جو سوچڻو پوندو، عوام جو ڪهڙو ڏوهه؟ خورشيد شاهه
Crime,ڪجهه ڏينهن اڳ صحافي رخسار سنديلو جون سولر پليٽون، انکانپوءِ صحافي تصوير سنديلو جي گهر مان سولر پليٽ چوري ٿي وئي هئي
Politics, آئين جي 50 هين سالگرهه جي موقعي تي لکيل خط ۾ چيف جسٽس چيو آهي ته آئين پارليامينٽ کي رياست ۾ قانون واضح ڪرڻ جو اختيار ڏئي ٿو
Crime,ڪراچي پوليس آفيس تي حملي جي جاچ لاءِ پنج رڪني ڪميٽي قائم
Politics,سنڌ هاءِ ڪورٽ صوبي ۾ جرڳن کي غير قانوني قرار ڏئي ڇڏيو
Politics,مريم نواز جو آپريشن، فواد چوڌري جو ردعمل اچي ويو
Politics,نيويارڪ (ويب ڊيسڪ) اڳوڻي وزيراعظم عمران خان جي گرفتاري کان پوءِ پاڪستان جي صورتحال تي گڏيل قومن جي سيڪريٽري جنرل جي ترجمان جو بيان سامهون آيو آهي.
Crime,ڪراچي: عورت طرفان مئل حالت ۾ ڇڏيل نينگر سان بدفعلي جو انڪشاف
Crime,لکي غلام شاهه ۾ ٻن گروپن ۾ جهيڙو، 2 ڄڻا مارجي ويا.
Crime,واضح رهي ته ڪنڌرا اوور هيڊ برج تي ٽرالر خراب ٿيڻ جي صورت ۾ گاڏيون هڪ طرف هلي رهيون هيون ۽ اوور ٽيڪ سبب حادثو پيش آيو.
Politics,ڏهه ڊسمبر تائين ڪي ايم سي ۽ ٽن ڊي ايم سيز جو ڪنٽرول ايم ڪيو ايم حوالي ٿيندو
Politics,جنهن تي عدالت پڇاڻو ڪيو ته ڇا مان جاچ کي ڪنٽرول ڪري سگهان ٿو؟
Politics,غير مقامي ڪراچي کي فتح ڪرڻ جي ناڪام ڪوشش ڪري رهيا آهن: عامر خان
Politics,جيڪڏهن اهو سسٽم ٺاهڻو آهي ته اليڪشن ڪميشن کي ان سلسلي ۾ ٻيهر هدايتون ڏيڻيون پونديون.
Sports,راشد خان ڀارتي ڪرڪيٽر هاردڪ پانڊيا سان سحري ڪرڻ جي تصوير شيئر ڪري ڇڏي
Crime,افغانستان جي راڄڌاني ڪابل ۾ پرڏيهي وزارت جي آفيس ٻاهران آپگهاتي ڌماڪي جي نتيجي ۾ ويهه ڄڻا مارجي ويا آهن.
Sports,انڊين ويلز ٽينس ٽورنامينٽ ۾ الڪراز ۽ ميدادوف فائنل ۾ هڪٻئي سان مقابلو ڪندا
Crime,نوجوان مڙس کي چاهيندڙ سان گڏ ماري ڇڏيائين، سڀني کي افسوس !
Sports,پاڪستان جي سينيئر اداڪارا ناديا جميل چيو آهي تھ اڳوڻي ڪرڪيٽر شاهد آفريدي سان سفر ڪرڻ دوران مون کيس انتهائي صبر ڪندڙ ماڻهو محسوس ڪيو آهي.
Politics,شيخ رشيد جي ضمانت منظور،آزاد ڪرڻ جو حڪم
Politics,پي ڊي ايم ۽ مريم جو سُپريم ڪورٽ جي جَجَن تي حملن جو مقصد رڳو چونڊن کان ڀڄڻ آهي: عمران خان
Politics,اسلام آباد ؛ صدر عارف علوي پنجاب ۽ خيبر پختونخوا ۾ مقرر وقت تي چونڊن لاءِ وزيراعظم شهباز شريف کي خط لکي ڇڏيو
Crime,جوابدارن فقير محمد تي حملو ڪري تشدد ڪيو، ايس ايس پي واقعي ۾ ملوث جوابدارن خلاف ڪارروائي ڪري ورتي.
Politics,سندس چوڻ هو ته ملڪي تقدير سان کيڏندڙ هڪ دهشتگرد جا سهولتڪار بڻجڻ کانپوءِ توهان پنهنجو وقار وڃائي چڪا آهيو
Politics,مقرري جي جاري ڪيل نوٽيفڪيشن ۾ چيو ويو هو ته آفتاب سلطان کي قومي اسيمبلي ۾ قائد ايوان ۽ مخالف ڌر اڳواڻ وچ ۾ صلاح مشوري کان پوءِ نيب جو چيئرمين مقرر ڪيو ويو. آفتاب سلطان کي بنا واڌ جي ٽن سالن لاءِ نيب جو چيئرمين مقرر ڪيو ويو هو.
Crime,پهريان ٻارن کي ڪمبلن ۾ ويڙهي دفنايو ويو، انهن کي به دفنايو ويو جيڪي اڃا ساهه کڻي رهيا هئا.
Sports,ميڊيا مطابق ڪينڊس وارنر ٻڌايو تھ گهرڀاتين سميت ڏکڻ آفريقا مان واپسي دوران ايئرپورٽ تي مداحن جي وڏي رش هئي، اسان جي چوڌاري پوليس هلي پئي، اسان جي چوڌاري بدحواسي هئي، مون پاڻ کي ڏوهاري محسوس پئي ڪيو
Politics,اسرائيل طرفان پنجين ڏينھن بھ غزھ تي بمباري جاري رکي، شھيد فلسطينين جو انگ وڌي 35 ٿي ويو
Crime,ڪراچي پوليس آفيس تي دهشتگردن جو حملو انٽيليجنس جي ناڪامي آهي: عمران خان
Sports,بنگلاديش آئرلينڊ کي ون ڊي ۾ 183 رنسن تان هارائي ڇڏيو
Politics,مڪاني چونڊن ۾ ڌانڌلي جا الزام، ايم ڪيو ايم جو مطالبن جي مڃتا لاءِ رستن تي اچڻ جو چتاءُ
Politics,هوڏانهن وزيراعظم شهباز شريف چيو آهي ته اتحادين ۾ اختلاف ٿيندو رهندو آهي، ڪڏهن ڳالهه مڃي ويندي آهي ته ڪڏهن مڃرائي ويندي آهي
Sports,سوائيٽڪ ۽ الڪراز انڊين ويلز جي سيمي فائنل ۾ پهچي ويا
Crime,جتي موٽر سائيڪل مان پيٽرول ڪڍڻ جي الزام ۾ ٻار کي موت جي ننڊ سمهاريو ويو.
Sports,اميد آهي ته پي ايڇ ايف صدر خالد سجاد کوکر هڪ ڀيرو وري گنڊ گڏ ڪري وٺندو.
Crime,ڀارتي رياست راجسٿان جي علائقي هنومان ڳڙهه ۾ ڀارتي هوائي فوج جو مگ 21 جهاز ڪري تباهه ٿي ويو، جنهن جي نتيجي ۾ 3 عورتون اجل جو شڪار ٿي ويون.
Crime,ڳوٺ ويهرو جي رهواسين پوليس ۽ بااثر ڏوهارين خلاف ڊيلي، ديوي، وشنو ۽ مگهارام جي اڳواڻي ۾ مظاهرو ڪري نعريبازي ڪئي
Sports,ٻئي پاسي نجي ٽي وچي چئنل سان ڳالهائيندي افتخار احمد چيو ته پهريان هن کي چاچي وارن نعرن تي چِڙ ايندي هئي پر هاڻي کيس مزو ايندو آهي.
Crime,ڪراچي کي ڏوهارين جو شهر بڻجڻ نه ڏينداسين: ڪامران ٽيسوري
Crime,خيرپور ۾ پوليس جي ڪارروائي، 1 موٽرسائيڪل چور گرفتار، 2 فرار.
Crime,ڪو بينڪ عملي جي ملي ڀڳت سان بينظير انڪم سپورٽ پروگرام جي پيسن مان ڪٽوتي ڪري ٿو ته ڪو وري ٻين بهانن سان عوام کي ڦري رهيو آهي
Politics,رپورٽرز ود آئوٽ بارڊرز جي رپورٽ موجب هلندڙ سال ورلڊ پريس فريڊم انڊيڪس ۾ ڀارت 11 درجا پوئتي وڃڻ کانپوءِ 161هين نمبر تي پهچي ويو، جڏهن ته پاڪستان 7 درجا ترقي سان 150هين نمبر تي پهتو آهي.
Politics,”عمران خان پهريان باجوا سان ملاقات لاءِ صدر کي منٿون ڪيون، هاڻي کيس گاريون ڏئي رهيو آهي“
Politics,وڳوڙين خلاف آرمي ايڪٽ تحت ٽرائل جو فيصلو
Crime,مالاڪنڊ ڊويزن ۾ 20 گهرن کي نقصان پهچڻ جا اطلاع آهن.
Politics,ھنن جو سنڌ ۽ سنڌي ماڻهن سان ڪو به واسطو ناهي، پيپلزپارٽي اقتدار خاطر سدائين سنڌ جي حقن تي سوديبازي ڪئي آهي.
Sports,ڇاڪاڻ تھ پاڪستان ڀارت جي هتي اچي نھ کيڏڻ جي صورت ۾ ورلڊ ڪپ کيڏڻ لاءِ ڀارت نھ وڃڻ جو پيغام ڏئي چڪو آهي.
Sports,رميز راجا پاران شاهين ۽ حارث رئوف جي بالنگ اسپيڊ ۾ گهٽتائي تي ڳڻتي ظاهر
Politics,پي ٽي آئي ڪارڪنن سينٽرل جيل جو گيٽ کولڻ جي ڪوشش ڪئي، ان دوران پوليس ۽ پي ٽي آئي ڪارڪن دوبدو ٿي پيا، هڪ ٻئي کي ڌڪا ۽ ٿاٻا ڏنا ويا، پوليس پاران لائوڊ اسپيڪر ذريعي اعلان ڪيا ويا ته پوليس وين موجود آهي جيڪو به گرفتاري ڏيڻ چاهي ٿو هليو اچي، پشاور ۾ پي ٽي آئي پاران پهرين گرفتاري اڳوڻي اقليتي اسيمبلي ميمبر وزير زاده ڏني
Crime,پوليس موجب سياسي جماعت جا اڳواڻ هجوم جي قيادت ڪري رهيا هئا، هجوم کي نقصان لاءِ اڪسايو ويو ۽ ڀڃ ڊاهه ڪرائي وئي.
Crime,ان موقعي تي صحافي اڳواڻن ڳالهائيندي الٽيميٽم ڏنو ته حملي ۽ ڦر جي جوابدارن کي 24 ڪلاڪن اندر گرفتار نه ڪيو ويو ته سڄي ضلعي جا صحافي ايس ايس پي آفيس آڏو ڌرڻو هڻندا.
Politics,حڪم نامي ۾ چيو ويو آهي ته سپريم ڪورٽ جو اڄوڪو حڪم نامو نيب جي القادر ٽرسٽ ڪيس جي ڪارروائي تي اثرانداز نه ٿيندو.
Sports,جڏهن تھ بيٽرن ۾ جو روٽ 1950 رنسن سان پهريون نمبر حاصل ڪيو آهي.
Politics,ٻن ڏينهن اندر 11 يونين ڪائونسلز جي چونڊ شيڊول جو اعلان نه ٿيو ته… حافظ نعيم وڏو بيان ڏئي ڇڏيو
Politics,اجلاس ۾ ادارن جي خلاف ٻاهرين ۽ اندرين پروپيگنڊا جي سخت لفظن ۾ مذمت ڪئي وئي
Crime,شهدادڪوٽ ۾ سي آءِ اي پوليس جي ڪارروائي، هڪ منشيات فروش گرفتار، منشيات هٿ.
Crime,ترجمان جو چوڻ هو ته انهن ڪميٽين ۾ ايس پي اسپيشل برانچ به شامل ڪيا ويندا.
Politics,پرڏيهي ميڊيا موجب ڪئمپ ۾ باهه سبب متاثر ٿيندڙ ماڻهن جي اڪثريت جو واسطو وينزويلا سان آهي جيڪي آمريڪا ۾ ڊاخل ٿيڻ جا خواهشمند هئا.
Politics,ملڪ خلاف سازش ڪندڙ عمران خان جي سهولتڪاري ڪئي پئي وڃي: شرجيل ميمڻ
Crime,وڏي وزير سوال ڪيو ته ٿريٿ الرٽ هو ته پوءِ دهشتگرد ڪي پي او ۾ ڪيئن پهتا؟ ۽ پوءِ جواب ڏنو ته اها هڪ سيڪيورٽي ليپس هئي.
Politics,اميد آهي ته جيل مان واپس اچي هو تحريڪ انصاف کي فين ڪلب مان هڪ باظابطا سياسي جماعت بڻائڻ تي ڌيان ڏيندو.
Politics,ملڪ اسد سڪندر جو چوڻ هو ته پهرئين مرحلي ۾ فوت ٿيلن کي سنڌ حڪومت پاران اعلانيل معاوضو ڏنو پيو وڃي بعد ۾ زخمين ۽ بي گهر ماڻهن کي به معاوضا ڏنا ويندا.
Politics,هن چيو ته ڪابينا، پارليامينٽ ۽ اعليٰ عدليا وچ ۾ گذريل ڪجهه هفتن کان ڪجهه معاملا هلي رهيا آهن، دنيا حيران ۽ پريشان آهي ته ڪڏهن اڄ تائين ائين ناهي ٿيو ته هڪ قانون جنهن حتمي شڪل اختيار ناهي ڪئي ۽ ان تي اعليٰ عدليا جي ٽي رڪني بئنچ چئي ڇڏي ته صدر ان قانون تي ڪا راءِ ڏي يا نه ڏي، نافذ العمل نه هوندو
Politics,پنجاب جو اڍنگو رويو، سنڌ جو امدادي سامان روڪي ڇڏيو
Crime,” مان هتان وڃي رهيو آهيان، ڏک آهي ته هر ڪنهن استعمال ڪيو“
Crime,مڙس تشدد ڪري زال جو نڪ ڪپي ڇڏيو
Sports,احسان الله جي خطرناڪ بالنگ شعيب اختر جون يادون تازيون ڪري ڇڏيون
Politics,لاهور (ويب ڊيسڪ) ن ليگ جي سينيئر نائب صدر مريم نواز چيو آهي ته چيف جسٽس صاحب! توهاڻ هاڻ عدليا ئي نه آئين ۽ قانون، انصاف ۽ ملڪي سلامتي لاءِ خطرو بڻجي چڪا آهيو.
Crime,سعودي عرب ۾ شدت پسند تنظيم جي ميمبر جو سر قلم ڪري ڇڏيو
Politics,شهباز شريف چيو ته 2018ع ۾ (ن) ليگ هڪ خوشحال پاڪستان ڇڏيو هو، جنهن کان پوءِ هڪ جهرلو ۽ فراڊ اليڪشن ٿي جنهن ملڪ جي ترقي جو سفر ختم ڪري ڇڏيو، بلڪه پاڪستان کي تمام پوئتي ڌڪي ڇڏيو، تحريڪ انصاف کي اقتدار ۾ آڻڻ لاءِ چونڊ نتيجا تبديل ڪيا ويا، اسان ترقي ۽ خوشحالي لاءِ ڏينهن رات ڪم ڪري رهيا هئاسين پر ان کي ڪنهن جي نظر لڳي وئي
Crime,چيلهار ۾ پورهيت جي گهر کي باهه، سمورو سامان سڙي ويو
Sports,القوا الجويا جي مڊ فيلڊر راند دوران لاڳيتو غلط عملن ۾ ملوث رهيو، جنهن تي کيس ڪيترائي ڀيرا پيلا ڪارڊ بھ ڏيکاريا ويا هئا، بعد ۾ هن ريفري ڏانهن ڊوڙ ڪندي کيس ڌمڪيون ڏئي حملو ڪرڻ جي ڪوشش ڪئي آهي.
Politics,گذريل ڏينهن سپريم ڪورٽ ۾ پيشي جي موقعي تي چيف جسٽس تحريڪ انصاف چيئرمين عمران خان سان مڪالمو ڪندي چيو هو ته ”ويلڪم خان صاحب! توهان کي ڏسي خوشي ٿي“.
